Task ID: 1	Task: acid stain concrete
	Subtask ID: 1	Description: How to stain some surface such as concrete. wood or countertops etc
		2	Do It Yourself Concrete Staining
		2	How to Acid Stain Concrete Floors Yourself
		2	how to acid stain concrete countertops
		1	Acid Stain Concrete Countertops
		1	Concrete Acid Stain Directions
		1	Links CONCRETE ACID STAINING
		1	Outdoor Concrete Acid Stain
		1	acid stain concrete antique wood
		1	acid stain concrete diy
		1	acid stain concrete driveway
		1	applying acid stain
		1	diy acid stained concrete patio
		1	how to acid stain concrete
		1	how to acid stain concrete basement floor
		1	how to apply acid stain to concrete floor
		1	stain concrete with acid stain
		1	to acid stain concrete
		1	topical how to acid stain concrete
	Subtask ID: 2	Description: Where should I buy concrete acid stain
		1	Concrete Acid Stain Manufacturers
		1	return from where to buy acid stain to acid based concrete stains
	Subtask ID: 3	Description: What precautions should I take before staining concrete
		2	acid dangers
		1	Concrete Acid Stain Directions
		1	Do It Yourself Concrete Staining
		1	How do I neutralize acid stain
		1	How to Acid Stain Concrete Floors Yourself
	Subtask ID: 4	Description: Find colors for staining concrete
		1	Acid Stain Concrete Pigment
		1	Concrete Acid Stain Color Chart
		1	Concrete Acid Stain Colors
		1	Concrete Acid Stain Sample
		1	acid stain concrete colors
		1	acid stain concrete countertop colors
		1	diy acid stained concrete patio
	Subtask ID: 5	Description: How to stain concrete at home
		2	Concrete Acid Stain Directions
		2	How to Acid Stain Concrete Floors Yourself
		1	Do It Yourself Concrete Staining
		1	How do I neutralize acid stain
		1	acid stain concrete diy
		1	acid staining process
		1	diy concrete acid stain
		1	how to acid stain concrete
		1	how to acid stain concrete basement floor
		1	how to acid stain concrete countertops
		1	how to apply acid stain to concrete floor
		1	spray stain acid concrete
		1	stain acid stain concrete
		1	to acid stain concrete
		1	topical how to acid stain concrete
		1	yourself acid stain concrete
	Subtask ID: 6	Description: Hire people to stain concrete at home
	Subtask ID: 7	Description: Stores to buy acid stain online
		1	acid concrete stain distributors
		1	acid stain concrete manufactuers
Task ID: 2	Task: taking care of swimming pool
	Subtask ID: 1	Description: How to setup swimming pool for winter
		2	how to take care of swimming pool in winter
	Subtask ID: 2	Description: How to remove algae from swimming pool
		1	Navigation swimming pool care
		1	Swimming Pool Care Problems
		1	swimming pool problems
	Subtask ID: 3	Description: How to drain the swimming pool
	Subtask ID: 4	Description: How to refill swimming pool
	Subtask ID: 5	Description: How to care for swimming pool while it snows
		1	how to take care of swimming pool in winter
		1	swimming pool problems
	Subtask ID: 6	Description: Buy chemicals to clean swimming pool
		1	Products Swimming Pool Care
		1	cost of taking care of a swimming pool
		1	multifunctional shock product stabilizes
		1	pool shockhow to shock a poolswimming pool chemistrycare
		1	swimming pool chemicals
		1	swimming pool cleaners
		1	swimming pool maintenance cost
		1	swimming pool shockhow to calcium hypochloritechlorinecaremaintenance
		1	swimming pool water testing kitchlorine levelchemistry
		1	water testing kitswimming pool chemistryswimming pool care
		1	water testing kitswimming poolwater hardnesscyanuric acidchlorine
	Subtask ID: 7	Description: Guide to care for swimming pool at home
		2	Navigation swimming pool care
		1	Care Swimming pool introduction
		1	Swimming Pool Care BlogThe
		1	Swimming Pool Care Instructions
		1	Swimming Pool Care Made
		1	Swimming Pool Care and Maintenance
		1	Swimming Pool Care for Beginners
		1	Swimming Pool Care just
		1	Taking Care of an Inground Pool
		1	a helpful guide to swimming pool care
		1	about swimming pool care
		1	aspects of swimming pool care
		1	basic pool care
		1	basic swimming pool care
		1	ground swimming pool care
		1	guidelines for taking care of your swimming pool
		1	help them with their swimming pool care
		1	how to maintain your pool yourself
		1	how to take care of an above ground pool
		1	pool care
		1	pool care 101
		1	pool care basics
		1	pool care guide for swimming pool owners in london
		1	pool care made easy
		1	pool maintenance basics
		1	pool shockhow to shock a poolswimming pool chemistrycare
		1	pool water testing kittypes of test kitsswimming pool
		1	suggestions for taking care of your swimming pool
		1	swimming pool care
		1	swimming pool care doesn't have to
		1	swimming pool care doesn't have to be expensive
		1	swimming pool care instructions
		1	swimming pool chemicals
		1	swimming pool cleaners
		1	swimming pool houston houston swimming pool care
		1	swimming pool maintenance
		1	swimming pool maintenance guide
		1	swimming pool maintenance guide pdf
		1	swimming pool shockhow to calcium hypochloritechlorinecaremaintenance
		1	swimming pool tips
		1	swimming pool water testing kitchlorine levelchemistry
		1	take care inground swimming pool
		1	taking care of a saltwater swimming pool
		1	taking care of above ground swimming pool
		1	taking care of swimming pool
		1	taking care of swimming pool water
		1	taking care of swimming pools for dummies
		1	taking care of your swimming pool
		1	water testing kitswimming pool chemistryswimming pool care
		1	water testing kitswimming poolwater hardnesscyanuric acidchlorine
	Subtask ID: 8	Description: Hire someone to clean the swimming pool
	Subtask ID: 9	Description: Cost of cleaning the swimming pool
		2	cost of taking care of a swimming pool
		2	swimming pool maintenance cost
